model,period,n_obs,rmse_return,mae_return,rmse_price,mae_price,directional_accuracy,n_direction_ties_excluded
naive,val,1027,0.0061089754241946,0.0044309802742307,0.0075923044367421,0.0056041869522881,,1027
naive,test,688,0.004247455509833,0.0031140977041159,0.0055477931397024,0.0040754360465115,,688
"ARIMA(2, 0, 2)",val,1027,0.006117555291657,0.0044508815329264,0.0076042309299531,0.0056296167444686,0.4823874755381604,5
"ARIMA(2, 0, 2)",test,688,0.0042606399100976,0.0031226274695529,0.0055653350220182,0.0040865790890988,0.5285505124450952,5
XGBoost,val,1027,0.0061091811777837,0.0044317637176179,0.0075923800569494,0.005605059095416,0.4941291585127201,5
XGBoost,test,688,0.0042485676290347,0.0031161995308363,0.0055491480077057,0.0040780076288177,0.4787701317715959,5
LSTM,val,1007,0.0061511956452799015,0.004481075026368669,0.007643388263579526,0.005665500178342006,0.4930139720558882,5
LSTM,test,668,0.004314724254631166,0.0031777670481754608,0.005639260423437441,0.004162279907547432,0.46153846153846156,5
