max_depth,min_child_weight,subsample,colsample_bytree,learning_rate,best_iteration,train_rmse,val_rmse,train_val_gap
2,20,0.7,0.8,0.01,0,0.00612624998767847,0.00497582359641215,-0.00115042639126632
2,20,0.7,0.7,0.01,0,0.00612624998767847,0.00497582359641215,-0.00115042639126632
2,10,0.7,0.7,0.01,0,0.00612613841951816,0.00497585686106443,-0.0011502815584537307
2,10,0.7,0.8,0.01,0,0.00612613841951816,0.00497585686106443,-0.0011502815584537307
3,20,0.7,0.8,0.01,0,0.00612607071786039,0.00497586220986962,-0.00115020850799077
3,20,0.7,0.7,0.01,0,0.00612607071786039,0.00497586220986962,-0.00115020850799077
2,10,0.8,0.8,0.01,0,0.00612610709818777,0.00497586226070734,-0.0011502448374804295
2,10,0.8,0.7,0.01,0,0.00612610709818777,0.00497586226070734,-0.0011502448374804295
2,20,0.8,0.7,0.01,0,0.00612618988192991,0.00497586643785177,-0.0011503234440781397
2,20,0.8,0.8,0.01,0,0.00612618988192991,0.00497586643785177,-0.0011503234440781397
3,20,0.8,0.7,0.01,0,0.00612601684327001,0.00497591513813057,-0.0011501017051394396
3,20,0.8,0.8,0.01,0,0.00612601684327001,0.00497591513813057,-0.0011501017051394396
3,10,0.7,0.7,0.01,0,0.00612590973412561,0.0049759254774743,-0.0011499842566513102
3,10,0.7,0.8,0.01,0,0.00612590973412561,0.0049759254774743,-0.0011499842566513102
3,10,0.8,0.8,0.01,0,0.00612585693851546,0.00497593552527033,-0.0011499214132451299
3,10,0.8,0.7,0.01,0,0.00612585693851546,0.00497593552527033,-0.0011499214132451299
2,20,0.7,0.7,0.05,0,0.00612540908827607,0.00497604853238623,-0.0011493605558898397
2,20,0.7,0.8,0.05,0,0.00612540908827607,0.00497604853238623,-0.0011493605558898397
2,10,0.7,0.8,0.05,0,0.00612486130579361,0.00497621973665919,-0.0011486415691344199
2,10,0.7,0.7,0.05,0,0.00612486130579361,0.00497621973665919,-0.0011486415691344199
2,10,0.8,0.8,0.05,0,0.00612471066585447,0.00497624872481474,-0.0011484619410397296
2,10,0.8,0.7,0.05,0,0.00612471066585447,0.00497624872481474,-0.0011484619410397296
3,20,0.7,0.8,0.05,0,0.00612452870215703,0.00497626004984076,-0.0011482686523162705
3,20,0.7,0.7,0.05,0,0.00612452870215703,0.00497626004984076,-0.0011482686523162705
2,20,0.8,0.8,0.05,0,0.00612511652630013,0.0049762693893922,-0.00114884713690793
2,20,0.8,0.7,0.05,0,0.00612511652630013,0.0049762693893922,-0.00114884713690793
3,20,0.8,0.7,0.05,0,0.00612426545918503,0.00497652959508012,-0.0011477358641049096
3,20,0.8,0.8,0.05,0,0.00612426545918503,0.00497652959508012,-0.0011477358641049096
3,10,0.7,0.8,0.05,0,0.00612374289943564,0.00497658638637214,-0.0011471565130635004
3,10,0.7,0.7,0.05,0,0.00612374289943564,0.00497658638637214,-0.0011471565130635004
3,10,0.8,0.7,0.05,0,0.00612348237806709,0.00497663625197482,-0.0011468461260922703
3,10,0.8,0.8,0.05,0,0.00612348237806709,0.00497663625197482,-0.0011468461260922703
