model,period,n_obs,rmse_return,mae_return,rmse_price,mae_price,directional_accuracy,n_direction_ties_excluded
XGBoost,val,1027,0.00497582358725658,0.0036635933038547523,0.005411882684673653,0.0040348784315515996,0.5122669283611384,8
XGBoost,test,688,0.0042119275150447775,0.002980388311754913,0.004687440361714792,0.0033287244599573746,0.5161290322580645,6
