P,D,Q,m,aic,bic
0,0,0,0,-39362.73633583229,-39356.15073660821
0,0,1,5,-39361.12541295518,-39347.95421450702
1,0,0,5,-39361.10277969952,-39347.93158125136
1,0,1,5,-39359.35947888081,-39339.60268120857
