P,D,Q,m,aic,bic
0,0,0,0,-39847.00312296716,-39814.07512684676
0,0,1,5,-39844.819720379215,-39805.30612503473
1,0,0,5,-39844.616637397834,-39805.10304205335
1,0,1,5,-39841.34702568153,-39795.24783111297
