P,D,Q,m,aic,bic
0,0,0,0,-39211.495604854135,-39204.91000563005
0,0,1,5,-39210.253802872874,-39197.082604424715
1,0,0,5,-39210.24069963061,-39197.06950118245
1,0,1,5,-39208.5606697156,-39188.80387204336
