model,period,n_obs,rmse_return,mae_return,rmse_price,mae_price,directional_accuracy,n_direction_ties_excluded
naive,val,1027,0.0049757745127446,0.0036635705629882,0.0054118356355718,0.0040348588120739,,1027
naive,test,688,0.0042119040502959,0.0029804325781516,0.0046874151155104,0.0033287790697674,,688
"ARIMA(0, 0, 0)",val,1027,0.004976158905647,0.0036642091940989,0.0054122300607423,0.0040355298372131,0.4916584887144259,8
"ARIMA(0, 0, 0)",test,688,0.0042121910142149,0.0029807157325755,0.0046877171779062,0.0033290650951455,0.5102639296187683,6
XGBoost,val,1027,0.00497582358725658,0.0036635933038547523,0.005411882684673653,0.0040348784315515996,0.5122669283611384,8
XGBoost,test,688,0.0042119275150447775,0.002980388311754913,0.004687440361714792,0.0033287244599573746,0.5161290322580645,6
