model,period,n_obs,rmse_return,mae_return,rmse_price,mae_price,directional_accuracy,n_direction_ties_excluded
naive,val,1027,0.0049757745127446,0.0036635705629882,0.0054118356355718,0.0040348588120739,,1027
naive,test,688,0.0042119040502959,0.0029804325781516,0.0046874151155104,0.0033287790697674,,688
"ARIMA(0, 0, 0)",val,1027,0.004976158905647,0.0036642091940989,0.0054122300607423,0.0040355298372131,0.4916584887144259,8
"ARIMA(0, 0, 0)",test,688,0.0042121910142149,0.0029807157325755,0.0046877171779062,0.0033290650951455,0.5102639296187683,6
XGBoost,val,1027,0.0049758235872565,0.0036635933038547,0.0054118826846736,0.0040348784315515,0.5122669283611384,8
XGBoost,test,688,0.0042119275150447,0.0029803883117549,0.0046874403617147,0.0033287244599573,0.5161290322580645,6
LSTM,val,1007,0.005002980745283178,0.0036972934550288028,0.0054411648215489,0.0040712270428904605,0.4944944944944945,8
LSTM,test,668,0.004282343772738998,0.00303207955918394,0.004765266167959058,0.0033864693085690492,0.5060422960725075,6
