model,period,n_obs,rmse_return,mae_return,rmse_price,mae_price,directional_accuracy,n_direction_ties_excluded
naive,val,1027,0.0061045347485966,0.0040600558926097,0.7890075483747931,0.5095131450827625,,1027
naive,test,688,0.0061488235584205,0.0042795094092898,0.9276572454933304,0.6481686046511591,,688
"ARIMA(0, 0, 0)",val,1027,0.0061047797670472,0.0040595536792798,0.7890414549463095,0.5094203886902035,0.5054080629301868,10
"ARIMA(0, 0, 0)",test,688,0.0061487316429064,0.0042745383270846,0.9276655834114268,0.6474095462457039,0.5691411935953421,1
XGBoost,val,1027,0.0060963618682756,0.0040542175632948,0.7876352465273375,0.5087374780231664,0.5457227138643068,10
XGBoost,test,688,0.0061533622208987,0.0042798862337152,0.9282873534630128,0.6482260221213902,0.462882096069869,1
LSTM,val,1007,0.006150829770060498,0.0040845695491188855,0.7953049430790384,0.5128913342321959,0.5476429287863591,10
LSTM,test,668,0.006209880545319656,0.00424552265042779,0.9380744468119719,0.6437512972432899,0.5622188905547226,1
